plantid,period,avg_mw
6251,2023_07,2569.5
6251,2023_08,2559.8
6251,2023_09,2574.5
6251,2023_10,2625.8
6251,2023_11,2663.7
6251,2023_12,2673.0
6251,2024_01,2196.4
6251,2024_02,2634.8
6251,2024_03,2039.8
6251,2024_04,1268.3
6251,2024_05,1737.0
6251,2024_06,2503.6
6251,2024_07,2219.8
6251,2024_08,2494.4
6251,2024_09,2579.1
6251,2024_10,1442.5
6251,2024_11,2099.5
6251,2024_12,2666.3
6251,2025_01,2677.0
6251,2025_02,2657.4
6251,2025_03,2651.4
6251,2025_04,2615.1
6251,2025_05,2616.9
6251,2025_06,2614.4
6251,2025_07,2602.4
6251,2025_08,2588.8
6251,2025_09,2605.1
6251,2025_10,1418.2
6251,2025_11,2132.7
6251,2025_12,2676.4
6251,2026_01,2677.6
6251,2026_02,2676.4
6251,2026_03,2048.1
7900,2002_02,16.8
7900,2002_03,14.9
7900,2002_04,29.4
7900,2002_05,31.5
7900,2002_06,36.0
7900,2002_07,32.6
7900,2002_08,41.7
7900,2002_09,36.7
7900,2002_10,20.6
7900,2002_11,9.0
7900,2002_12,6.7
7900,2003_01,8.1
7900,2003_02,6.7
7900,2003_03,9.6
7900,2003_04,14.8
7900,2003_05,22.9
7900,2003_06,11.1
7900,2003_07,27.5
7900,2003_08,29.1
7900,2003_09,15.3
7900,2003_10,18.0
7900,2003_11,13.5
7900,2003_12,7.3
7900,2004_01,8.2
7900,2004_02,10.9
7900,2004_03,34.8
7900,2004_04,45.0
7900,2004_05,31.0
7900,2004_06,38.7
7900,2004_07,39.0
7900,2004_08,35.6
7900,2004_09,247.3
7900,2004_10,204.0
7900,2004_11,35.0
7900,2004_12,187.2
7900,2005_01,162.2
7900,2005_02,179.4
7900,2005_03,215.8
7900,2005_04,229.4
7900,2005_05,154.6
7900,2005_06,252.1
7900,2005_07,261.9
7900,2005_08,276.3
7900,2005_09,280.5
7900,2005_10,242.1
7900,2005_11,191.5
7900,2005_12,187.5
7900,2006_01,144.0
7900,2006_02,180.4
7900,2006_03,206.2
7900,2006_04,38.0
7900,2006_05,137.2
7900,2006_06,249.2
7900,2006_07,202.1
7900,2006_08,232.0
7900,2006_09,200.2
7900,2006_10,223.4
7900,2006_11,235.4
7900,2006_12,160.9
7900,2007_01,185.5
7900,2007_02,227.7
7900,2007_03,222.3
7900,2007_04,170.8
7900,2007_05,233.4
7900,2007_06,247.6
7900,2007_07,237.7
7900,2007_08,272.4
7900,2007_09,243.8
7900,2007_10,140.2
7900,2007_11,126.7
7900,2007_12,193.9
7900,2008_01,190.4
7900,2008_02,185.1
7900,2008_03,212.3
7900,2008_04,176.4
7900,2008_05,222.8
7900,2008_06,286.6
7900,2008_07,270.9
7900,2008_08,271.3
7900,2008_09,236.8
7900,2008_10,228.6
7900,2008_11,107.3
7900,2008_12,175.7
7900,2009_01,188.8
7900,2009_02,183.8
7900,2009_03,198.0
7900,2009_04,210.4
7900,2009_05,137.0
7900,2009_06,282.6
7900,2009_07,271.1
7900,2009_08,271.9
7900,2009_09,205.8
7900,2009_10,191.9
7900,2009_11,97.9
7900,2009_12,177.5
7900,2010_01,158.8
7900,2010_02,182.1
7900,2010_03,58.7
7900,2010_04,194.1
7900,2010_05,207.9
7900,2010_06,233.6
7900,2010_07,251.8
7900,2010_08,299.2
7900,2010_09,234.9
7900,2010_10,198.3
7900,2010_11,197.6
7900,2010_12,189.0
7900,2011_01,178.4
7900,2011_02,33.8
7900,2011_03,75.8
7900,2011_04,164.8
7900,2011_05,32.1
7900,2011_06,204.7
7900,2011_07,323.9
7900,2011_08,331.7
7900,2011_09,256.6
7900,2011_10,226.0
7900,2011_11,102.7
7900,2011_12,197.3
7900,2012_01,196.5
